luas_bangunan,kualitas_bangunan,harga_rumah
158,7,499.96
117,6,435.22
165,7,535.93
159,7,335.71
204,8,599.48
126,5,342.9
157,8,736.16
194,7,479.58
164,7,311.49
100,5,282.95
96,5,310.53
215,9,827.28
84,5,345.3
138,7,670.22
116,6,376.47
79,7,316.52
93,6,357.29
120,4,215.81
103,5,381.27
124,5,333.31
220,8,780.04
102,7,334.27
166,8,551.52
98,5,311.49
98,5,369.28
148,8,614.58
83,5,323.24
158,8,733.76
148,5,497.57
48,4,164.26
122,4,95.92
114,5,358.13
114,8,431.38
157,5,396.85
145,9,665.42
227,8,740.95
101,5,347.7
120,5,366.88
98,5,261.37
107,4,196.63
123,6,383.67
123,5,407.64
82,5,345.3
87,5,312.33
106,5,338.11
162,9,767.09
199,7,574.75
153,8,598.76
134,4,270.96
88,5,304.53
136,6,424.43
109,6,274.56
75,5,263.77
171,9,923.2
126,5,311.73
132,6,432.82
161,8,413.64
159,7,471.19
273,10,1052.15
72,5,299.5
107,6,378.87
103,5,242.19
127,8,485.58
158,7,335.71
188,7,526.34
229,8,760.14
205,7,431.62
137,7,541.93
69,4,191.83
212,7,539.53
206,7,585.09
78,4,310.53
159,7,443.61
100,5,347.46
149,3,257.54
91,4,218.21
88,4,325.52
119,5,304.53
164,4,327.31
114,5,263.77
199,6,464.0
124,6,368.08
145,8,587.49
98,5,303.34
136,7,404.05
224,8,623.46
144,6,417.24
113,6,394.46
141,3,203.82
91,4,296.38
96,4,263.53
114,5,236.43
89,5,392.06
212,6,321.08
165,6,490.97
136,6,443.61
147,7,513.15
89,4,227.2
77,5,199.03
113,4,309.21
149,6,491.57
160,6,426.83
142,5,285.26
113,7,476.94
168,7,406.45
185,8,599.48
97,4,239.79
73,5,275.76
140,5,275.76
171,6,455.6
172,6,328.27
132,7,431.62
250,7,920.73
209,6,520.35
215,6,622.26
135,6,422.03
101,5,333.31
104,5,371.68
299,7,767.33
135,6,393.23
91,6,431.62
104,4,239.79
100,6,326.12
111,6,369.04
147,6,434.02
70,6,202.62
89,6,306.93
78,5,208.62
125,6,371.68
97,5,359.69
200,7,541.93
190,6,585.09
123,5,361.48
120,8,527.54
159,5,431.62
156,7,417.24
112,5,342.9
182,7,410.04
172,8,551.52
163,6,555.12
80,4,275.76
161,7,623.46
128,5,398.05
139,7,489.17
160,5,299.74
158,6,311.73
81,5,251.78
189,7,533.53
100,7,338.11
124,5,275.76
90,5,292.54
158,8,892.99
185,6,455.6
116,6,563.51
111,6,299.74
101,6,189.43
96,5,262.57
182,8,646.24
180,7,611.23
228,7,767.33
114,6,389.66
247,9,989.14
143,7,527.54
81,4,247.46
150,6,364.48
125,5,305.73
173,5,455.6
200,8,780.82
159,7,440.02
158,8,546.72
128,5,308.13
153,6,515.55
164,7,573.1
126,6,390.86
153,6,441.22
200,6,582.69
191,6,505.96
178,5,413.64
207,9,1203.36
89,5,239.79
141,6,424.43
167,7,479.82
124,5,287.75
193,7,479.58
116,5,304.53
335,10,1139.01
113,7,414.84
153,5,323.72
113,5,367.69
147,8,685.8
253,8,755.34
137,7,441.22
132,7,460.4
158,7,311.73
80,5,304.53
135,6,356.09
160,7,747.84
289,8,563.51
207,6,249.38
159,8,659.19
104,4,335.71
118,6,411.24
121,6,268.57
78,6,357.29
119,5,263.77
133,7,432.82
157,5,345.06
102,4,338.11
191,7,664.22
101,6,347.7
80,5,235.0
112,6,446.01
172,7,605.9
91,5,374.07
129,6,387.86
114,5,322.4
133,7,503.56
123,4,256.58
181,7,746.95
115,7,401.03
139,7,491.33
210,6,479.58
144,6,431.38
80,4,232.6
222,10,926.19
120,5,268.57
234,7,695.39
91,6,254.18
84,5,299.74
144,7,461.6
110,6,354.89
259,8,966.36
91,6,226.6
83,5,307.41
182,6,519.15
91,6,214.61
131,7,444.81
162,7,466.39
157,8,762.54
138,6,270.96
145,8,629.45
80,5,264.97
133,5,189.43
113,6,287.75
196,7,491.57
173,7,579.1
179,6,328.51
127,6,335.71
154,7,431.62
199,6,664.22
121,3,183.44
150,8,563.51
152,6,414.84
120,6,378.87
122,5,347.7
212,7,551.52
160,6,497.57
149,7,527.54
166,7,555.12
81,5,232.6
128,6,422.03
239,8,661.82
112,6,362.08
122,5,311.73
70,5,175.05
132,6,420.83
140,6,443.61
203,5,430.42
72,5,288.95
103,6,354.89
180,8,637.84
126,7,579.1
210,8,695.39
151,6,333.31
75,5,298.54
143,7,491.57
144,7,481.98
80,4,338.11
197,9,995.85
187,7,460.4
184,7,547.92
117,6,443.61
122,7,497.57
136,8,586.53
146,6,429.71
116,7,394.94
161,6,381.27
79,4,211.02
83,5,292.54
129,6,368.26
178,8,559.26
159,5,325.88
159,5,314.13
210,7,563.51
152,6,400.45
93,6,341.7
144,5,364.48
181,7,573.1
161,6,419.63
107,6,380.07
124,5,376.47
227,8,640.24
143,7,491.57
83,5,359.45
324,7,707.38
185,8,733.52
208,7,539.53
130,6,214.61
79,4,197.83
180,9,863.25
139,6,397.09
90,6,316.52
103,5,287.51
189,7,899.22
152,7,426.83
133,7,452.01
218,7,623.46
182,8,647.44
245,7,623.46
136,7,449.61
241,9,821.63
229,8,848.86
253,7,721.77
108,3,302.56
276,7,580.29
74,5,208.62
159,8,776.92
128,6,348.3
198,6,514.35
110,5,187.04
160,5,285.35
98,5,333.31
151,8,681.01
126,7,496.37
152,6,460.4
165,5,549.0
178,9,905.03
142,7,513.15
150,7,485.58
112,6,371.68
177,8,486.54
78,4,196.63
96,3,209.82
156,9,637.84
103,5,203.82
146,6,336.19
89,6,363.28
137,6,377.67
151,7,369.28
253,9,1048.26
173,9,762.68
134,7,455.6
103,5,227.8
66,6,253.94
148,6,335.71
111,6,425.63
108,6,414.84
106,5,321.32
125,5,311.73
178,8,671.41
84,6,374.07
139,5,347.7
178,7,475.99
91,6,282.95
146,6,455.6
124,5,352.49
129,6,381.27
132,6,395.66
117,5,316.52
119,5,388.46
154,6,413.4
147,4,322.36
69,6,299.74
122,5,294.94
179,7,526.34
83,1,146.27
84,5,354.89
229,8,815.29
172,9,945.81
167,6,429.23
157,5,304.53
120,7,450.21
166,7,511.95
72,6,182.24
181,6,575.5
117,8,460.4
110,5,194.23
104,6,299.74
137,7,458.0
216,10,1021.51
127,5,285.35
182,6,515.55
81,5,255.38
73,4,239.79
96,5,261.37
106,5,309.33
83,5,294.94
168,5,406.45
100,5,160.66
144,7,577.9
119,8,588.69
121,7,395.63
62,5,258.97
210,8,618.66
146,6,402.85
150,4,359.69
152,6,275.76
156,6,424.43
201,7,671.41
193,8,814.69
118,5,143.87
98,5,347.7
137,7,532.34
95,5,275.76
194,7,546.72
124,7,434.34
130,6,358.49
243,6,573.1
105,5,302.14
98,5,340.5
124,7,494.69
148,6,515.55
91,5,270.96
244,8,755.34
111,6,333.31
129,7,323.72
152,7,659.43
84,4,261.39
112,7,468.55
131,6,419.63
91,6,204.78
111,6,191.59
126,5,293.74
149,6,434.02
58,4,194.23
154,7,508.36
103,6,278.16
83,6,285.35
64,5,216.65
111,6,263.77
223,10,1330.84
133,4,282.95
146,5,390.62
116,7,413.64
177,7,503.56
156,6,305.73
175,6,455.6
175,7,479.34
127,6,286.55
109,3,287.75
75,6,263.77
142,7,671.41
163,6,489.17
147,8,503.56
160,5,450.81
115,7,420.83
124,5,235.0
154,4,613.86
154,8,386.06
111,5,263.77
179,8,631.69
105,7,371.68
80,5,149.59
154,6,452.49
96,5,297.34
131,7,428.6
118,7,400.45
152,5,351.29
151,8,599.48
158,6,448.41
139,8,508.36
182,7,455.6
99,6,354.89
183,8,1055.08
153,8,601.88
90,5,317.72
138,6,500.92
245,9,911.21
159,8,712.18
105,4,214.54
171,9,781.72
166,9,896.82
169,7,371.68
112,6,393.26
92,5,317.72
103,5,352.49
99,5,374.07
137,5,419.63
224,5,383.67
58,4,206.22
121,5,275.76
146,6,318.92
135,6,414.32
117,5,371.68
82,5,218.93
66,4,83.69
299,8,1031.1
169,7,441.22
83,5,311.73
84,5,287.75
113,6,270.96
164,7,543.61
112,5,335.71
167,7,693.0
122,6,352.49
182,5,298.54
177,8,515.55
113,6,499.48
128,7,386.06
96,5,298.54
126,5,395.42
127,7,485.97
80,5,311.49
100,6,321.32
73,5,231.4
187,10,966.02
196,6,378.87
217,7,635.45
166,6,505.96
193,7,561.11
120,4,254.78
115,6,359.69
154,6,381.27
434,10,443.01
222,7,757.14
117,7,422.03
86,5,316.52
252,9,1070.09
56,4,206.22
233,6,481.08
140,6,419.63
126,6,306.93
76,5,257.78
31,1,94.24
131,8,426.83
125,5,257.78
160,7,450.81
80,4,266.77
107,5,378.87
148,8,652.23
170,9,755.34
212,8,594.68
156,7,511.35
71,7,318.92
138,7,430.82
202,7,549.12
151,6,503.56
71,5,310.53
76,5,299.74
194,7,630.65
