,LotArea,YearBuilt,OverallQual,OverallCond,GrLivArea,MiscFeature,GarageArea,KitchenQual,SalePrice
0,8450,2003,7,5,1710,,548,Gd,208500
1,9600,1976,6,8,1262,,460,TA,181500
2,11250,2001,7,5,1786,,608,Gd,223500
3,9550,1915,7,5,1717,,642,Gd,140000
4,14260,2000,8,5,2198,,836,Gd,250000
5,14115,1993,5,5,1362,Shed,480,TA,143000
6,10084,2004,8,5,1694,,636,Gd,307000
7,10382,1973,7,6,2090,Shed,484,TA,200000
8,6120,1931,7,5,1774,,468,TA,129900
9,7420,1939,5,6,1077,,205,TA,118000
10,11200,1965,5,5,1040,,384,TA,129500
11,11924,2005,9,5,2324,,736,Ex,345000
12,12968,1962,5,6,912,,352,TA,144000
13,10652,2006,7,5,1494,,840,Gd,279500
14,10920,1960,6,5,1253,,352,TA,157000
15,6120,1929,7,8,854,,576,TA,132000
16,11241,1970,6,7,1004,Shed,480,TA,149000
17,10791,1967,4,5,1296,Shed,516,TA,90000
18,13695,2004,5,5,1114,,576,Gd,159000
19,7560,1958,5,6,1339,,294,TA,139000
20,14215,2005,8,5,2376,,853,Gd,325300
21,7449,1930,7,7,1108,,280,Gd,139400
22,9742,2002,8,5,1795,,534,Gd,230000
23,4224,1976,5,7,1060,,572,TA,129900
24,8246,1968,5,8,1060,,270,Gd,154000
25,14230,2007,8,5,1600,,890,Gd,256300
26,7200,1951,5,7,900,,576,Gd,134800
27,11478,2007,8,5,1704,,772,Gd,306000
28,16321,1957,5,6,1600,,319,TA,207500
29,6324,1927,4,6,520,,240,Fa,68500
30,8500,1920,4,4,1317,,250,TA,40000
31,8544,1966,5,6,1228,,271,Gd,149350
32,11049,2007,8,5,1234,,484,Gd,179900
33,10552,1959,5,5,1700,,447,Gd,165500
34,7313,2005,9,5,1561,,556,Ex,277500
35,13418,2004,8,5,2452,,691,Gd,309000
36,10859,1994,5,5,1097,,672,TA,145000
37,8532,1954,5,6,1297,,498,TA,153000
38,7922,1953,5,7,1057,,246,Gd,109000
39,6040,1955,4,5,1152,,0,Fa,82000
40,8658,1965,6,5,1324,,440,TA,160000
41,16905,1959,5,6,1328,,308,TA,170000
42,9180,1983,5,7,884,,504,Gd,144000
43,9200,1975,5,6,938,,308,TA,130250
44,7945,1959,5,6,1150,,300,TA,141000
45,7658,2005,9,5,1752,,576,Ex,319900
46,12822,2003,7,5,2149,,670,Gd,239686
47,11096,2006,8,5,1656,,826,Gd,249700
48,4456,1920,4,5,1452,,0,TA,113000
49,7742,1966,5,7,955,,386,TA,127000
50,13869,1997,6,6,1470,,388,TA,177000
51,6240,1934,6,6,1176,Shed,528,TA,114500
52,8472,1963,5,5,816,,516,TA,110000
53,50271,1981,9,5,1842,,894,Gd,385000
54,7134,1955,5,5,1360,,572,TA,130000
55,10175,1964,6,5,1425,,576,TA,180500
56,2645,1999,8,5,1739,,480,Gd,172500
57,11645,2004,7,5,1720,,565,Gd,196500
58,13682,2006,10,5,2945,,641,Gd,438780
59,7200,1972,5,7,780,,352,TA,124900
60,13072,2004,6,5,1158,,576,Gd,158000
61,7200,1920,5,7,1111,,288,Fa,101000
62,6442,2006,8,5,1370,,484,Gd,202500
63,10300,1921,7,6,1710,,480,TA,140000
64,9375,1997,7,5,2034,,645,Gd,219500
65,9591,2004,8,5,2473,,852,Gd,317000
66,19900,1970,7,5,2207,,576,TA,180000
67,10665,2003,7,5,1479,,558,Gd,226000
68,4608,1945,4,6,747,,220,TA,80000
69,15593,1953,7,4,2287,,667,TA,225000
70,13651,1973,7,6,2223,,516,TA,244000
71,7599,1982,4,6,845,,360,TA,129500
72,10141,1998,7,5,1718,,427,TA,185000
73,10200,1954,5,7,1086,,490,TA,144900
74,5790,1915,3,6,1605,,379,TA,107400
75,1596,1973,4,5,988,,297,TA,91000
76,8475,1956,4,7,952,,283,TA,135750
77,8635,1948,5,5,1285,,240,TA,127000
78,10778,1968,4,5,1768,,0,TA,136500
79,10440,1910,5,6,1230,,440,TA,110000
80,13000,1968,6,6,2142,,509,Gd,193500
81,4500,1998,6,5,1337,,405,TA,153500
82,10206,2007,8,5,1563,,758,Gd,245000
83,8892,1960,5,5,1065,,461,TA,126500
84,8530,1995,7,5,1474,Shed,400,TA,168500
85,16059,1991,8,5,2417,,462,Gd,260000
86,11911,2005,6,5,1560,,400,Gd,174000
87,3951,2009,6,5,1224,,528,Gd,164500
88,8470,1915,3,2,1526,,0,Fa,85000
89,8070,1994,4,5,990,,0,TA,123600
90,7200,1950,4,5,1040,,420,TA,109900
91,8500,1961,5,3,1235,,480,TA,98600
92,13360,1921,5,7,964,,432,TA,163500
93,7200,1910,6,6,2291,,506,TA,133900
94,9337,1997,6,5,1786,,684,Gd,204750
95,9765,1993,6,8,1470,Shed,420,TA,185000
96,10264,1999,7,5,1588,,472,Gd,214000
97,10921,1965,4,5,960,,432,TA,94750
98,10625,1920,5,5,835,Shed,366,TA,83000
99,9320,1959,4,5,1225,Shed,0,TA,128950
100,10603,1977,6,7,1610,,480,Gd,205000
101,9206,1985,6,5,1732,,476,Gd,178000
102,7018,1979,5,5,1535,,410,TA,118964
103,10402,2009,7,5,1226,,740,Gd,198900
104,7758,1931,7,4,1818,,240,TA,169500
105,9375,2003,8,5,1992,,648,Gd,250000
106,10800,1885,4,7,1047,Shed,273,TA,100000
107,6000,1948,5,5,789,,250,TA,115000
108,8500,1919,5,7,1517,,0,Fa,115000
109,11751,1977,6,6,1844,,546,TA,190000
110,9525,1954,6,4,1855,,325,TA,136900
